strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV169-19001-410_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-04-17	19001-410		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-04-17	NYSDOH	Vogels et al.				
PV170-19001-415_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-04-17	19001-415		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-04-17	NYSDOH	Vogels et al.				
PV171-19001-427_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-04-17	19001-427		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-04-17	NYSDOH	Vogels et al.				
PV172-19001-589_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-05-22	19001-589		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-22	NYSDOH	Vogels et al.				
PV173-19001-591_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-05-22	19001-591		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-22	NYSDOH	Vogels et al.				
PV174-19001-601_LII_Guilderland_NY_USA_Ixodes-scapularis_M_Drag_2019-05-22	19001-601		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-22	NYSDOH	Vogels et al.				
PV175-19021-063_LII_Chatham_NY_USA_Ixodes-scapularis_F_Drag_2019-05-07	19021-063		LII	Chatham_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-07	NYSDOH	Vogels et al.				
PV176-19039-010_LII_Greenville_NY_USA_Ixodes-scapularis_M_Drag_2019-05-08	19039-010		LII	Greenville_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-05-08	NYSDOH	Vogels et al.				
PV177-19091-035_LII_Wilton_NY_USA_Ixodes-scapularis_F_Drag_2019-04-22	19091-035		LII	Wilton_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-04-22	NYSDOH	Vogels et al.				
PV178-19091-043_LII_Wilton_NY_USA_Ixodes-scapularis_M_Drag_2019-04-22	19091-043		LII	Wilton_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-04-22	NYSDOH	Vogels et al.				
PV179-19091-084_LII_Saratoga-Springs_NY_USA_Ixodes-scapularis_F_Drag_2019-04-29	19091-084		LII	Saratoga-Springs_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-04-29	NYSDOH	Vogels et al.				
PV180-19091-164_LII_Wilton_NY_USA_Ixodes-scapularis_F_Drag_2019-05-15	19091-164		LII	Wilton_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-15	NYSDOH	Vogels et al.				
PV181-19091-165_LII_Wilton_NY_USA_Ixodes-scapularis_F_Drag_2019-05-15	19091-165		LII	Wilton_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-15	NYSDOH	Vogels et al.				
PV182-19093-125_LII_Glenville_NY_USA_Ixodes-scapularis_F_Drag_2019-05-16	19093-125		LII	Glenville_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-16	NYSDOH	Vogels et al.				
PV183-19093-142_LII_Glenville_NY_USA_Ixodes-scapularis_M_Drag_2019-05-16	19093-142		LII	Glenville_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-05-16	NYSDOH	Vogels et al.				
PV185-19093-242_LII_Glenville_NY_USA_Ixodes-scapularis_M_Drag_2019-05-22	19093-242		LII	Glenville_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-05-22	NYSDOH	Vogels et al.				
PV186-19115-021_LII_Jackson_NY_USA_Ixodes-scapularis_F_Drag_2019-05-06	19115-021		LII	Jackson_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-06	NYSDOH	Vogels et al.				
PV187-16CD17_LII_Copake_NY_USA_Ixodes-scapularis_M_Deer_2016-11-19	16CD17		LII	Copake_NY	New-York	USA	Ixodes-scapularis_M	Deer	2016-11-19	NYSDOH	Vogels et al.				
PV188-16021-171_LII_Greenport_NY_USA_Ixodes-scapularis_F_Drag_2016-10-21	16021-171		LII	Greenport_NY	New-York	USA	Ixodes-scapularis_F	Drag	2016-10-21	NYSDOH	Vogels et al.				
PV189-18091-387_LII_Charlton_NY_USA_Ixodes-scapularis_M_Drag_2018-11-08	18091-387		LII	Charlton_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-11-08	NYSDOH	Vogels et al.				
PV190-18091-16-005_LII_Stillwater_NY_USA_Ixodes-scapularis_M_Deer_2018-11-17	18091-16-005		LII	Stillwater_NY	New-York	USA	Ixodes-scapularis_M	Deer	2018-11-17	NYSDOH	Vogels et al.				
PV191-18091-26-001_LII_Schaghticoke_NY_USA_Ixodes-scapularis_M_Deer_2018-11-18	18091-26-001		LII	Schaghticoke_NY	New-York	USA	Ixodes-scapularis_M	Deer	2018-11-18	NYSDOH	Vogels et al.				
PV192-18091-11-003_LII_Saratoga_NY_USA_Ixodes-scapularis_M_Deer_2018-11-17	18091-11-003		LII	Saratoga_NY	New-York	USA	Ixodes-scapularis_M	Deer	2018-11-17	NYSDOH	Vogels et al.				
PV193-18091-328_LII_Milton_NY_USA_Ixodes-scapularis_M_Drag_2018-11-07	18091-328		LII	Milton_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-11-07	NYSDOH	Vogels et al.				
PV194-18089-048_LII_Hermon_NY_USA_Ixodes-scapularis_F_Drag_2018-10-14	18089-048		LII	Hermon_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-14	NYSDOH	Vogels et al.				
