strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV271-19093-494_LII_Glenville_NY_USA_Ixodes-scapularis_F_Drag_2019-11-04	19093-494		LII	Glenville_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-04	NYSDOH	Vogels et al.				
PV272-19065-058_LI_Verona_NY_USA_Ixodes-scapularis_M_Drag_2019-11-04	19065-058		LI	Verona_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-11-04	NYSDOH	Vogels et al.				
PV273-19065-059_LI_Verona_NY_USA_Ixodes-scapularis_F_Drag_2019-11-04	19065-059		LI	Verona_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-04	NYSDOH	Vogels et al.				
PV274-19021-02-002_LII_Ancram_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19021-02-002		LII	Ancram_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV275-19021-03-002_LII_North-East_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19021-03-002		LII	North-East_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV276-19021-09-001_LII_Taghkanic_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19021-09-001		LII	Taghkanic_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV277-19091-04-001_LII_Ballston_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19091-04-001		LII	Ballston_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV278-19091-08-002_LII_Stillwater_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19091-08-002		LII	Stillwater_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV279-19091-11-001_LII_Greenwich_NY_USA_Ixodes-scapularis_M_Deer_2019-11-16	19091-11-001		LII	Greenwich_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-11-16	NYSDOH	Vogels et al.				
PV286-POW19-088_LII_Thomaston_ME_USA_Ixodes-scapularis_M_Drag_2019-05-22	POW19-088		LII	Rockland_ME	Maine	USA	Ixodes-scapularis_M	Drag	2019-05-22	MMCRI	Vogels et al.				
PV287-WB19-061_LII_Wells_ME_USA_Ixodes-scapularis_N_Bird_2019-06-18	WB19-061		LII	Wells_ME	Maine	USA	Ixodes-scapularis_N	Bird	2019-06-18	MMCRI	Vogels et al.				
PV292-PF3.019_LII_Wells_ME_USA_Ixodes-scapularis_M_Drag_2018-06-07	PF3.019		LII	Wells_ME	Maine	USA	Ixodes-scapularis_M	Drag	2018-06-07	MMCRI	Vogels et al.				
PV293-PF3.020_LII_Wells_ME_USA_Ixodes-scapularis_M_Drag_2018-06-07	PF3.020		LII	Wells_ME	Maine	USA	Ixodes-scapularis_M	Drag	2018-06-07	MMCRI	Vogels et al.				
PV297-PF1.021_LII_Wells_ME_USA_Ixodes-scapularis_M_Drag_2018-06-19	PF1.021		LII	Wells_ME	Maine	USA	Ixodes-scapularis_M	Drag	2018-06-19	MMCRI	Vogels et al.				
PV298-PF6.005_LII_Wells_ME_USA_Ixodes-scapularis_M_Drag_2018-06-14	PF6.005		LII	Wells_ME	Maine	USA	Ixodes-scapularis_M	Drag	2018-06-14	MMCRI	Vogels et al.				
PV299-LI108_LII_Mill-Neck_NY_USA_Ixodes-scapularis_F_Drag_2018-10-25	LI108		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-25	Cornell	Vogels et al.				
PV300-LI131_LII_Mill-Neck_NY_USA_Ixodes-scapularis_M_Drag_2018-10-25	LI131		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-25	Cornell	Vogels et al.				
PV301-LI132_LII_Mill-Neck_NY_USA_Ixodes-scapularis_M_Drag_2018-10-25	LI132		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-25	Cornell	Vogels et al.				
PV302-LI171_LII_Mill-Neck_NY_USA_Ixodes-scapularis_F_Drag_2018-10-25	LI171		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-25	Cornell	Vogels et al.				
PV303-LI192_LII_Mill-Neck_NY_USA_Ixodes-scapularis_M_Drag_2018-10-25	LI192		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-25	Cornell	Vogels et al.				
PV305-LI212_LII_Mill-Neck_NY_USA_Ixodes-scapularis_M_Drag_2018-10-25	LI212		LII	Mill-Neck_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-25	Cornell	Vogels et al.				
PV306-LI298_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_F_Drag_2018-10-31	LI298		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-31	Cornell	Vogels et al.				
PV307-LI305_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_F_Drag_2018-10-31	LI305		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-31	Cornell	Vogels et al.				
PV309-LI327_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_M_Drag_2018-10-31	LI327		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-31	Cornell	Vogels et al.				
PV310-LI331_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_M_Drag_2018-10-31	LI331		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-31	Cornell	Vogels et al.				
PV311-LI336_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_M_Drag_2018-10-31	LI336		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-31	Cornell	Vogels et al.				
PV312-LI343_LII_Oyster-Bay_NY_USA_Ixodes-scapularis_M_Drag_2018-10-31	LI343		LII	Oyster-Bay_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-10-31	Cornell	Vogels et al.				
PV313-LI586_LII_Woodbury_NY_USA_Ixodes-scapularis_M_Drag_2018-12-04	LI586		LII	Woodbury_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-12-04	Cornell	Vogels et al.				
